"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/department/",54022,61,86,110,130,190,260,350,430,3798
"POST /api/department/",5392,59,84,110,130,200,260,350,420,2591
"GET /api/department/1",53620,50,74,97,120,180,250,340,420,3775
"GET /api/medicine/",53764,62,88,110,130,200,260,360,440,9016
"POST /api/medicine/",5323,59,84,110,130,190,260,340,420,3288
"GET /api/medicine/1",53595,50,75,98,120,180,250,340,420,3778
"GET /api/user/",53655,56,82,110,130,190,260,350,430,3428
"/api/user/login",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Total",279371,56,81,110,120,190,260,350,430,9016
