"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/department/",18581,570,660,740,790,950,1100,1400,1500,3000
"POST /api/department/",1915,570,660,720,780,940,1200,1400,1600,2621
"GET /api/department/1",18798,550,650,720,780,940,1100,1300,1500,2767
"GET /api/medicine/",18368,560,660,740,790,950,1100,1400,1600,3227
"POST /api/medicine/",1850,570,660,740,790,960,1100,1400,1600,2318
"GET /api/medicine/1",18576,560,650,730,780,950,1100,1300,1500,3136
"GET /api/user/",18899,560,660,730,780,940,1100,1300,1500,2898
"POST /api/user/login",5,560,600,600,640,640,640,640,640,635
"Total",96992,560,660,730,780,950,1100,1400,1500,3227
